dataset,namespace,index_name,user_namespace,embed_model,top_k,persona,combine_strategy,rerank_strategy,update_strategy,alpha_mode,alpha_value,alpha_start,alpha_step,alpha_floor,final_alpha,case_count,mean_baseline_score,mean_post_score,mean_delta,wins,mean_baseline_rank,mean_post_rank,expected_retrieval_rate
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,moving-average,sliding,,0.990000,0.020000,0.700000,0.790000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,moving-average,static,0.500000,,,,0.500000,1,11.317529,11.948459,0.630930,1,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,moving-average,static,0.800000,,,,0.800000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,moving-average,static,0.950000,,,,0.950000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,none,sliding,,0.990000,0.020000,0.700000,0.990000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,none,static,0.500000,,,,0.500000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,none,static,0.800000,,,,0.800000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,cross-encoder,none,static,0.950000,,,,0.950000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,moving-average,sliding,,0.990000,0.020000,0.700000,0.790000,1,6.448459,11.448459,5.000000,1,3.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,moving-average,static,0.500000,,,,0.500000,1,6.448459,11.948459,5.500000,1,3.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,moving-average,static,0.800000,,,,0.800000,1,6.448459,11.448459,5.000000,1,3.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,moving-average,static,0.950000,,,,0.950000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,none,sliding,,0.990000,0.020000,0.700000,0.990000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,none,static,0.500000,,,,0.500000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,none,static,0.800000,,,,0.800000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,linear-comb,none,none,static,0.950000,,,,0.950000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,query-only,cross-encoder,moving-average,none,,,,,,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,query-only,cross-encoder,none,none,,,,,,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,query-only,none,moving-average,none,,,,,,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,query-only,none,none,none,,,,,,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,moving-average,sliding,,0.990000,0.050000,0.500000,0.500000,1,11.317529,11.948459,0.630930,1,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,moving-average,static,0.500000,,,,0.500000,1,11.317529,11.948459,0.630930,1,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,moving-average,static,0.800000,,,,0.800000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,moving-average,static,0.950000,,,,0.950000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,none,sliding,,0.990000,0.050000,0.500000,0.990000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,none,static,0.500000,,,,0.500000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,none,static,0.800000,,,,0.800000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,cross-encoder,none,static,0.950000,,,,0.950000,1,11.317529,11.317529,0.000000,0,1.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,moving-average,sliding,,0.990000,0.050000,0.500000,0.500000,1,6.448459,11.948459,5.500000,1,3.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,moving-average,static,0.500000,,,,0.500000,1,6.448459,11.948459,5.500000,1,3.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,moving-average,static,0.800000,,,,0.800000,1,6.448459,11.448459,5.000000,1,3.000000,1.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,moving-average,static,0.950000,,,,0.950000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,none,sliding,,0.990000,0.050000,0.500000,0.990000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,none,static,0.500000,,,,0.500000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,none,static,0.800000,,,,0.800000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
civil,zai,541,users,llama-text-embed-v2,5,civil,spherical-comb,none,none,static,0.950000,,,,0.950000,1,6.448459,6.448459,0.000000,0,3.000000,3.000000,1.000000
